name,phase,batch_size,seq_len,dbo,time_ms,tok_s
serial_b1_s128,decode,1,128,off,3856.28,5.2
dbo_b1_s128,decode,1,128,on,3868.48,5.2
serial_b2_s128,decode,2,128,off,7107.32,2.8
dbo_b2_s128,decode,2,128,on,7100.19,2.8
serial_b4_s128,decode,4,128,off,7134.02,2.8
dbo_b4_s128,decode,4,128,on,7138.94,2.8
serial_b8_s128,decode,8,128,off,7248.87,2.8
dbo_b8_s128,decode,8,128,on,7267.39,2.8
serial_b16_s128,decode,16,128,off,7400.86,2.7
dbo_b16_s128,decode,16,128,on,7379.26,2.7
serial_b32_s128,decode,32,128,off,8120.57,2.5
dbo_b32_s128,decode,32,128,on,8092.63,2.5
serial_b64_s128,decode,64,128,off,8966.86,2.2
dbo_b64_s128,decode,64,128,on,8945.95,2.2
serial_b128_s128,decode,128,128,off,10597.09,1.9
dbo_b128_s128,decode,128,128,on,10526.37,1.9
serial_b1_s128,prefill,1,128,off,1775.73,
dbo_b1_s128,prefill,1,128,on,1865.73,
serial_b2_s128,prefill,2,128,off,2596.67,
dbo_b2_s128,prefill,2,128,on,2791.81,
serial_b4_s128,prefill,4,128,off,3398.85,
dbo_b4_s128,prefill,4,128,on,3560.24,
serial_b8_s128,prefill,8,128,off,3696.19,
dbo_b8_s128,prefill,8,128,on,3767.78,
serial_b16_s128,prefill,16,128,off,4359.61,
dbo_b16_s128,prefill,16,128,on,4517.91,
serial_b32_s128,prefill,32,128,off,5694.96,
dbo_b32_s128,prefill,32,128,on,5751.04,
serial_b64_s128,prefill,64,128,off,8287.38,
dbo_b64_s128,prefill,64,128,on,8304.56,
serial_b128_s128,prefill,128,128,off,13363.52,
dbo_b128_s128,prefill,128,128,on,OOM,
serial_b4_s64,prefill,4,64,off,3285.92,
dbo_b4_s64,prefill,4,64,on,3440.23,
serial_b4_s128,prefill,4,128,off,3391.46,
dbo_b4_s128,prefill,4,128,on,3556.68,
serial_b4_s256,prefill,4,256,off,3704.15,
dbo_b4_s256,prefill,4,256,on,3843.93,
serial_b4_s512,prefill,4,512,off,4587.67,
dbo_b4_s512,prefill,4,512,on,4691.46,
serial_b4_s1024,prefill,4,1024,off,6338.21,
dbo_b4_s1024,prefill,4,1024,on,6381.33,
serial_b4_s2048,prefill,4,2048,off,10571.70,
dbo_b4_s2048,prefill,4,2048,on,10609.71,
