node,batch,seq,tokens,prefill_ms,decode_tpot_ms,timed_step_total_ms,compute_ms_total,recv_wait_ms_total,send_ms_total,moe_router_ms_total,ep_dispatch_ms_total,ep_local_experts_ms_total,ep_reduce_ms_total,compute_ms_per_layer_mb,recv_wait_ms_per_layer_mb,ep_dispatch_ms_per_layer_mb,ep_local_experts_ms_per_layer_mb,ep_reduce_ms_per_layer_mb,compute_ratio
attention,1,4,2,2355.2309554070234,391.2410959601402,2805.284336209297,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ffn_coordinator,1,4,2,2354.7283113002777,391.23065397143364,2805.1697239279747,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ffn_expert_r2,1,4,2,2354.532452300191,391.237935051322,2805.177854374051,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ffn_expert_r3,1,4,2,2354.5526415109634,391.23292453587055,2805.1878549158573,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ffn_expert_r4,1,4,2,2354.5470517128706,391.23569428920746,2805.178875103593,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
attention,2,8,3,2447.373015806079,789.3679495900869,762.0658781379461,95.95470875501633,629.8624072223902,0,0.0,0.0,0.0,0.0,0.9995282161980867,6.561066741899897,0.0,0.0,0.0,0.1259139288449377
ffn_coordinator,2,8,3,2446.8301199376583,789.3670434132218,761.7462258785963,721.5287499129772,4.995092749595642,0,18.51942390203476,49.4582075625658,444.2982114851475,137.7336122095585,7.515924478260179,0.05203221614162127,0.5151896621100605,4.628106369636953,1.434725127182901,0.9472035769928071
ffn_expert_r2,2,8,3,2446.6437995433807,789.3612943589687,761.5863736718893,755.0591714680195,0.0,0,0.0,159.50671210885048,424.93826150894165,158.13502855598927,7.86519970279187,0.0,1.6615282511338592,4.4264402240514755,1.647239880791555,0.9914294656134671
ffn_expert_r3,2,8,3,2446.6386307030916,789.3623281270266,761.6048343479633,754.7003943473101,0.0,0,0.0,158.99383835494518,424.382159486413,158.56144577264786,7.861462441117813,0.0,1.6561858161973457,4.420647494650136,1.6516817267984152,0.9909343537629138
ffn_expert_r4,2,8,3,2446.716560050845,789.3564589321613,761.5867834538221,755.0293896347284,0.0,0,0.0,157.91728161275387,555.2198439836502,27.928611263632774,7.864889475361754,0.0,1.644971683466186,5.783540041496356,0.29092303399617475,0.9913898271850836
attention,4,128,3,2535.528890788555,747.4047997966409,727.9427945613861,97.80525974929333,593.2818446308374,0,0.0,0.0,0.0,0.0,1.0188047890551388,6.180019214904557,0.0,0.0,0.0,0.13435844200947797
ffn_coordinator,4,128,3,2533.9720007032156,747.4014703184366,727.5958806276321,687.2154474258423,4.961313679814339,0,18.365666270256042,47.70961590111256,481.06212727725506,67.24475510418415,7.158494244019191,0.05168035083139936,0.4969751656365891,5.01106382580474,0.7004661990019182,0.9445015642928637
ffn_expert_r2,4,128,3,2533.832620829344,747.3872136324644,727.4273298680782,720.6237595528364,0.0,0,0.0,155.88401816785336,486.2401504069567,65.70805422961712,7.506497495342046,0.0,1.6237918559151392,5.065001566739132,0.6844588982251784,0.9906470790470909
ffn_expert_r3,4,128,3,2533.7440706789494,747.3977999761701,727.4413704872131,721.0126183927059,0.0,0,0.0,157.42681361734867,459.98508483171463,91.49419516324997,7.510548108257353,0.0,1.639862641847382,4.79151130033036,0.9530645329505205,0.9911625151451017
ffn_expert_r4,4,128,3,2533.8091291487217,747.4063066765666,727.4332512170076,720.5125615000725,0.0,0,0.0,155.99688328802586,467.64790266752243,83.86529982089996,7.505339182292421,0.0,1.6249675342502694,4.871332319453359,0.8735968731343746,0.9904861515398743
attention,8,512,3,3419.173590838909,929.604722186923,901.4384429901838,94.70593184232712,774.793054908514,0,0.0,0.0,0.0,0.0,0.9865201233575741,8.070760988630354,0.0,0.0,0.0,0.10506089747867389
ffn_coordinator,8,512,3,3410.6574952602386,929.6077517792583,901.1335410177708,862.369779497385,5.2916184067726135,0,19.365541636943817,42.89441742002964,592.3884492367506,135.82243584096432,8.983018536431095,0.05512102507054806,0.44681684812530875,6.1707130128828185,1.414817040010045,0.9569833329290965
ffn_expert_r2,8,512,3,3410.212252289057,929.5898769050837,900.9419679641724,894.1917363554239,0.0,0,0.0,150.92693455517292,534.4328545033932,194.9495356529951,9.314497253702333,0.0,1.5721555682830513,5.5670089010770125,2.030724329718699,0.9925075844518579
ffn_expert_r3,8,512,3,3410.1859405636787,929.5904617756605,900.9569492191076,894.0430860966444,0.0,0,0.0,151.70136652886868,669.1981013864279,60.21065451204777,9.312948813506713,0.0,1.5802225680090487,6.970813556108624,0.627194317833831,0.9923260893559279
ffn_expert_r4,8,512,3,3410.206651315093,929.5945167541504,900.9613376110792,894.261047244072,0.0,0,0.0,152.53215469419956,631.5359063446522,97.89859503507614,9.31521924212575,0.0,1.588876611397912,6.5784990244234605,1.0197770316153765,0.9925631765900486
attention,4,128,20,2597.334884107113,783.6805351666713,790.0164984166622,98.76513853669167,653.5671502351761,0,0.0,0.0,0.0,0.0,1.0288035264238715,6.807991148283084,0.0,0.0,0.0,0.12501655185003743
ffn_coordinator,4,128,20,2595.795411616564,783.6797614826968,789.6979954093695,748.6618123948574,5.302663892507553,0,18.552182242274284,46.739548444747925,455.5532708764076,154.38922122120857,7.798560545779765,0.05523608221362034,0.48687029629945755,4.745346571629246,1.6082210543875892,0.9480355993644894
ffn_expert_r2,4,128,20,2595.4772271215916,783.6780588289624,789.546076208353,782.928952947259,0.0,0,0.0,159.75320525467396,508.86601209640503,101.99746116995811,8.155509926533947,0.0,1.6640958880695205,5.300687626004219,1.0624735538537304,0.9916190790373228
ffn_expert_r3,4,128,20,2595.5051723867655,783.6792483729752,789.5462084561586,783.1752710044384,0.0,0,0.0,160.3938639163971,459.43051017820835,151.344645768404,8.158075739629567,0.0,1.670769415795803,4.785734481023003,1.5765067267542083,0.9919308871558288
ffn_expert_r4,4,128,20,2595.5875124782324,783.6797142303303,789.5280662924051,783.0408476293087,0.0,0,0.0,158.8339116424322,571.5482160449028,39.36358727514744,8.156675496138632,0.0,1.6545199129420023,5.953627250467737,0.41003736744945246,0.9917834223505693
attention,8,512,20,3286.559132859111,931.0402444710857,888.2542308419943,96.43396735191345,755.0818920135498,0,0.0,0.0,0.0,0.0,1.0045204932490985,7.865436375141144,0.0,0.0,0.0,0.108565728148012
ffn_coordinator,8,512,20,3277.954949066043,931.0408691434484,887.9372216761112,852.7684155851603,4.934042692184448,0,15.761099755764008,37.793589755892754,485.13042367994785,242.8435366600752,8.883004329012087,0.051396278043588005,0.39368322662388283,5.05344191333279,2.5296201735424497,0.9603926885455205
ffn_expert_r2,8,512,20,3277.6541635394096,931.040407991723,887.806860730052,881.3261743634939,0.0,0,0.0,140.20824618637562,683.1331364810467,44.797418639063835,9.180480982953062,0.0,1.4605025644414127,7.11597017167757,0.46663977749024826,0.9927003420977971
ffn_expert_r3,8,512,20,3277.617856860161,931.0396212692324,887.8112398087978,881.1947032809258,0.0,0,0.0,139.38536494970322,525.6900042295456,201.98922418057919,9.179111492509643,0.0,1.451930884892742,5.475937544057767,2.1040544185476997,0.9925473611605806
ffn_expert_r4,8,512,20,3277.7010537683964,931.0404448524902,887.8220394253731,881.3118916004896,0.0,0,0.0,139.87361453473568,633.9397300034761,94.0130352973938,9.180332204171767,0.0,1.4570168180701633,6.603538854202877,0.9793024510145187,0.9926672829285731
